variant,status,params,trainable_params,flops,peak_mem_mb,runtime_ms,G50_psnr,G50_ssim,SpatialG_psnr,SpatialG_ssim,Poisson_psnr,Poisson_ssim,S&P_psnr,S&P_ssim,Speckle_psnr,Speckle_ssim,Mixture_psnr,Mixture_ssim,avg_psnr,avg_ssim
grad8,ok,115066.0,115066.0,145107402159.0,209.34130859375,29.5061849988997,25.940099574701684,0.7228009470879101,27.508078944707478,0.7814770483643353,27.61795666497407,0.7979284849616533,32.671153282301894,0.9025039244133166,29.276283617621914,0.851360312701052,28.422437439285943,0.8255837732460106,28.572668253932164,0.813609081795713
grad4,ok,111070.0,111070.0,139869765039.0,207.82666015625,29.687630000989884,25.913497886382984,0.7200205371358394,27.728249459516274,0.7946906942432175,27.728222497318242,0.8012685019213839,33.592322796004176,0.9220060086392309,29.529066999932194,0.8617707826691066,28.408081394744844,0.8228762124545362,28.816573505649785,0.8204387895105524
sobel,ok,109072.0,109072.0,137313861049.0,205.818359375,38.766104995738715,25.780826330161055,0.718816358129264,27.530442604734517,0.7852153205664918,27.442743328984704,0.794524460098313,33.476329138645966,0.9169663086186858,29.116847647684423,0.853166366414242,28.204640777573054,0.8181094298091056,28.59197163796395,0.8144663739393504
